from_zone_id,to_zone_id,path_id,estimated_proportion,target_proportion
1,6,0,0.25,0
1,6,1,0.25,1
1,6,2,0.25,2
1,6,3,0.25,3
1,8,4,0.25,4
1,8,5,0.25,5
1,8,6,0.25,6
1,8,7,0.25,7
1,9,8,0.09090909361839294,8
1,9,9,0.09090909361839294,9
1,9,10,0.09090909361839294,10
1,9,11,0.09090909361839294,11
1,9,12,0.09090909361839294,12
1,9,13,0.09090909361839294,13
1,9,14,0.09090909361839294,14
1,9,15,0.09090909361839294,15
1,9,16,0.09090909361839294,16
1,9,17,0.09090909361839294,17
1,9,18,0.09090909361839294,18
2,6,19,0.5,19
2,6,20,0.5,20
2,8,21,1.0,21
2,9,22,0.25,22
2,9,23,0.25,23
2,9,24,0.25,24
2,9,25,0.25,25
4,6,26,1.0,26
4,8,27,0.5,27
4,8,28,0.5,28
4,9,29,0.25,29
4,9,30,0.25,30
4,9,31,0.25,31
4,9,32,0.25,32
