link_id,from_node_id,to_node_id,estimated_count
1,1,2,0.0
2,1,4,0.0
3,1,5,0.0
4,2,3,0.0
5,2,5,0.0
6,3,6,0.0
7,4,5,0.0
8,4,7,0.0
9,5,6,0.0
10,5,8,0.0
11,5,9,0.0
12,6,9,0.0
13,7,8,0.0
14,8,9,0.0
15,2,1,209.8770294189453
16,4,1,221.8320770263672
17,5,1,150.32666015625
18,3,2,59.55220031738281
19,5,2,150.33309936523438
20,6,3,59.55220031738281
21,5,4,150.33206176757812
22,7,4,71.50761413574219
23,6,5,178.6556396484375
24,8,5,214.52236938476562
25,9,5,57.81379318237305
26,9,6,77.08533477783203
27,8,7,71.50761413574219
28,9,8,77.08517456054688
