od_id,o_zone_id,d_zone_id,estimated_gamma,target_gamma
1,2,1,-0.10485206,0.15
2,3,1,0.8576439,1.0
3,12,1,-0.08528801,1.0
4,13,1,0.12127691,1.0
5,4,1,0.49503788,0.7
6,11,1,-0.24481118,0.65
7,14,1,0.093673006,0.6
8,23,1,0.6538564,0.8
9,24,1,0.4999407,0.7
10,9,1,-0.029519381,0.2
11,10,1,0.029561024,0.4
12,15,1,-0.48140758,0.5
13,22,1,0.18277273,0.45
14,21,1,0.42957395,0.6
15,4,5,0.26690564,0.3
16,11,5,-0.64379597,0.35
17,14,5,-0.06975629,0.4
18,23,5,-0.023538731,0.2
19,24,5,0.18666,0.3
20,9,5,0.1595631,0.8
21,10,5,-0.123975195,0.6
22,15,5,-0.09297028,0.5
23,22,5,0.21800597,0.55
24,21,5,0.2307488,0.4
25,2,5,0.2471221,0.85
26,6,5,0.24841107,1.0
27,8,5,0.5844853,1.0
28,16,5,-0.04509956,1.0
29,17,5,0.46045607,1.0
30,19,5,0.5291299,1.0
31,20,5,0.67099416,1.0
32,7,5,0.40010658,1.0
33,18,5,0.11846969,1.0
